ticket_id,name,T1,T3,T4,T5,T51,T52,T53,T6,T61,T62
110107081032321, ,11,10,31,0,0,0,0,31,10.5,20.5
110107081032621, ,21,12,31,0,0,0,0,142,121,21
110107081032921, ,11,12,21,3,1,1,1,142,121,21
110107081033221, ,21,12,21,3,1,1,1,34.5,13,21.5
110107081040221, ,11,99,11,1.5,.5,.5,.5,142,121,21
110107081040521, ,31,31,31,4.5,1.5,1.5,1.5,142,121,21
110107081040821, ,11,11,21,3,1,1,1,142.5,121.5,21
110107081041121, ,21,99,21,0,0,0,0,198,99,99
110107081041421, ,21,12,21,4.5,1.5,1,2,142,121,21
110107081041721, ,21,11,31,0,0,0,0,143,122,21
110107081042021, ,10,31,31,4,1.5,1.5,1,30,10,20
110107081042321, ,21,11,31,2.5,1,.5,1,31.5,11,20.5
110107081042621, ,10,11,31,0,0,0,0,30.5,10.5,20
110107081042921, ,10,10,99,1,0,.5,.5,30,10,20
110107081043221, ,11,10,21,0,0,0,0,30,10,20
110107081050221, ,21,11,31,7,3,2,2,142,121,21
110107081050521, ,21,22,31,4.5,2,1,1.5,31,10.5,20.5
110107081050821, ,11,21,31,4,1.5,1,1.5,30,10,20
110107081051121, ,99,21,31,5,2,1,2,143,122,21
110107081051421, ,11,21,31,5.5,2.5,1.5,1.5,34,13,21
110107081051721, ,11,10,21,.5,.5,0,0,142.5,122,20.5
110107081052021, ,11,11,21,.5,0,.5,0,143,122,21
110107081052321, ,10,10,21,2,.5,.5,1,30,10,20
110107081052621, ,10,11,21,6,2,2,2,30,10,20
110107081052921, ,21,22,31,4,1.5,1.5,1,32,11,21
110107081053221, ,21,31,31,4.5,1.5,1.5,1.5,143,122,21
110107081060221, ,21,21,21,6,2,2,2,32,11,21
110107081060521, ,10,11,21,4,1,1,2,32,11,21
110107081060821, ,31,21,31,3,1,1,1,142,121,21
110107081061121, ,10,21,21,.5,0,.5,0,30,10,20
110107081061421, ,21,41,21,4.5,1.5,1.5,1.5,30,10,20
110107081061721, ,21,22,31,0,0,0,0,30,10,20
110107081062021, ,21,11,31,4.5,2,1,1.5,143,122,21
110107081062321, ,11,12,31,0,0,0,0,143,122,21
110107081062621, ,11,11,99,0,0,0,0,31,10.5,20.5
110107081062921, ,10,11,21,1.5,.5,.5,.5,142,121,21
110107081063221, ,10,11,21,297,99,99,99,143,121.5,21.5
110107081070121, ,99,21,21,5,2,2,1,142,121,21
110107081070421, ,21,21,31,1.5,.5,.5,.5,143,122,21
110107081070721, ,10,21,31,3,1,1,1,31,11,20
110107081071021, ,31,21,31,4,1.5,1,1.5,32,11,21
110107081071321, ,10,12,21,1.5,.5,.5,.5,30,10,20
110107081071621, ,10,11,21,3.5,1.5,1,1,31.5,11,20.5
110107081071921, ,11,10,31,4.5,2,1,1.5,142,121,21
110107081072221, ,21,11,21,297,99,99,99,198,99,99
110107081072521, ,10,11,12,2.5,1.5,.5,.5,30,10,20
110107081072821, ,99,11,41,1,.5,0,.5,30,10,20
110107081073121, ,10,10,21,0,0,0,0,141,121,20
110107081080221, ,10,31,31,2,.5,1,.5,143,122,21
110107081080521, ,21,21,31,3,1,1,1,31.5,11,20.5
110107081080821, ,10,21,21,1.5,.5,.5,.5,30.5,10.5,20
110107081081121, ,21,11,21,3.5,1.5,1,1,142,121,21
110107081081421, ,10,11,21,0,0,0,0,30,10,20
110107081081721, ,10,11,21,297,99,99,99,198,99,99
110107081082021, ,21,11,31,6,2.5,1.5,2,33,12,21
110107081082321, ,99,12,31,2.5,1,1,.5,143,122,21
110107081082621, ,11,11,31,4,1,1,2,32,11,21
110107081082921, ,99,11,31,3,1,1,1,143,122,21
110107081083221, ,11,11,21,6,2.5,1.5,2,142,121,21
110107091011421, ,21,22,31,3,1,1,1,142,121,21
110107091011721, ,11,10,31,1.5,.5,.5,.5,142.5,121.5,21
110107091021121, ,21,10,31,3,1,1,1,198,99,99
110107091030121, ,21,21,21,4,1.5,1,1.5,143,122,21
110107091030421, ,10,11,31,0,0,0,0,142,121,21
110107091030721, ,99,21,31,5.5,2,1.5,2,142,121,21
110107091031021, ,99,99,99,297,99,99,99,198,99,99
110107091031321, ,11,11,11,1.5,.5,.5,.5,30,10,20
110107091031621, ,21,11,31,0,0,0,0,30,10,20
110107091040321, ,99,99,10,0,0,0,0,30,10,20
110107091040621, ,21,11,21,0,0,0,0,31.5,11,20.5
110107091041221, ,11,11,21,4,1.5,1,1.5,31.5,11,20.5
110107091041821, ,99,99,99,297,99,99,99,198,99,99
110107101010221, ,21,11,21,5.5,2.5,1,2,142.5,121.5,21
110107101010521, ,31,31,99,4.5,1.5,1.5,1.5,143,122,21
110107101011121, ,99,10,21,0,0,0,0,30,10,20
110107101011421, ,99,10,21,0,0,0,0,30,10,20
110107101011721, ,31,21,11,3,1,1,1,30,10,20
110107101012021, ,10,11,11,0,0,0,0,30.5,10.5,20
110107101012321, ,11,31,21,3,1.5,.5,1,32,11,21
110107101012621, ,99,11,31,297,99,99,99,198,99,99
110107101012921, ,21,21,21,3.5,1.5,1,1,142,121,21
110107101013221, ,10,11,21,0,0,0,0,30,10,20
110107101013521, ,11,11,11,.5,0,.5,0,143,122,21
110107101020221, ,31,11,31,3.5,1,1,1.5,142.5,121.5,21
110107101020521, ,21,11,21,1.5,1,0,.5,143,122,21
110107101020821, ,21,11,21,5,2,1,2,30,10,20
110107101021121, ,11,21,21,3.5,1.5,1,1,143,122,21
110107101021421, ,10,11,31,6.5,3,1.5,2,34,13,21
110107101021721, ,21,31,21,2.5,1.5,.5,.5,30,10,20
